2024-10-01T11:50:57.603Z [TRACE]    Initiate command cmd_pack
2024-10-01T11:50:58.131Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-01T11:50:59.952Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-01T11:51:00.154Z [SUCCESS]  Pack command status: success
2024-10-01T15:02:29.928Z [TRACE]    Initiate command cmd_pack
2024-10-01T15:02:29.944Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-01T15:02:30.168Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-01T15:02:30.347Z [SUCCESS]  Pack command status: success
2024-10-07T09:51:47.735Z [TRACE]    Initiate command cmd_pack
2024-10-07T09:51:47.752Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T09:51:48.000Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T09:51:48.193Z [SUCCESS]  Pack command status: success
2024-10-07T09:52:45.881Z [TRACE]    Initiate command cmd_pack
2024-10-07T09:52:45.897Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T09:52:46.125Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T09:52:46.315Z [SUCCESS]  Pack command status: success
2024-10-07T09:55:10.300Z [TRACE]    Initiate command cmd_pack
2024-10-07T09:55:10.317Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T09:55:10.564Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T09:55:10.763Z [SUCCESS]  Pack command status: success
2024-10-07T10:54:06.815Z [TRACE]    Initiate command cmd_pack
2024-10-07T10:54:06.831Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T10:54:07.071Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T10:54:07.269Z [SUCCESS]  Pack command status: success
2024-10-07T13:33:59.066Z [TRACE]    Initiate command cmd_pack
2024-10-07T13:33:59.084Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T13:33:59.332Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-07T13:33:59.525Z [SUCCESS]  Pack command status: success
2024-10-18T13:42:41.320Z [TRACE]    Initiate command cmd_pack
2024-10-18T13:42:41.336Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-18T13:42:41.581Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-18T13:42:41.774Z [SUCCESS]  Pack command status: success
2024-10-23T09:00:38.984Z [TRACE]    Initiate command cmd_pack
2024-10-23T09:00:39.000Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-23T09:00:39.246Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-23T09:00:39.440Z [SUCCESS]  Pack command status: success
2024-10-23T09:06:04.166Z [TRACE]    Initiate command cmd_pack
2024-10-23T09:06:04.182Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-23T09:06:04.432Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-10-23T09:06:04.624Z [SUCCESS]  Pack command status: success
2024-11-06T09:32:05.939Z [TRACE]    Initiate command cmd_pack
2024-11-06T09:32:05.955Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-11-06T09:32:06.207Z [WARN]     WARNING: Missing optional field "home" on the contract-module, please set the url to the project's website
2024-11-06T09:32:06.399Z [SUCCESS]  Pack command status: success
